subject_id,channel_index,chromophore,hrf_peak_s,beta_main,beta_comfort,beta_richness
P44,15,HbR,5,-0.002875988464027185,-3.91544404466171e-5,0.0016050466830479738
P44,16,HbO,5,-0.002523608164612375,-0.007410050469707132,0.0038866728371744455
P44,16,HbR,5,-0.0013927703476731058,0.003362386825159947,-0.0025870992228584455
P44,17,HbO,5,-9.916167229927873e-5,-4.0066607827014296e-4,-8.267411299851981e-4
P44,17,HbR,5,-0.00165976661115167,0.004143858669359164,-0.002083271677089136
P44,18,HbO,5,1.0770979747765487e-6,3.307481732621581e-5,1.3635212558429344e-6
P44,18,HbR,5,5.623963306988159e-6,3.774877872671745e-5,-1.2138800462149036e-5
P44,19,HbO,5,1.653181865016764e-6,1.6110262763129282e-5,8.117786034609582e-6
P44,19,HbR,5,2.0882327697371553e-6,2.4527741826356122e-5,-3.834203282122674e-6
P44,20,HbO,5,-1.296839845516868e-6,-4.385213907484726e-6,-7.059950865547534e-7
P44,20,HbR,5,9.928580509816573e-7,2.3627973690758126e-6,1.320217389469746e-7
P44,21,HbO,5,-1.1026561354251441e-6,-1.148505943333907e-6,-3.613741883359827e-7
P44,21,HbR,5,-4.5036906676035604e-7,-1.4756788914406281e-6,-1.0919725548709885e-8
P44,22,HbO,5,-0.0011096003930895777,-7.113587101400489e-4,0.002296792467673288
P44,22,HbR,5,2.6397437611843435e-4,-0.0012257125894123983,0.00338145930008447
P44,23,HbO,5,-0.004481015426614824,-0.0049065880934025105,-0.00459122028820338
P44,23,HbR,5,0.0012825041166820011,0.006685450324394298,-0.004952939894447346
P44,1,HbO,8,-0.0012305399308461759,-3.761277021341229e-4,-0.002692855448945947
P44,2,HbO,8,-0.004497995906295906,-0.008715153694267258,-0.0024881642159711027
P44,3,HbO,8,0.0016027690448867534,-0.007993734737184253,9.964213098717504e-4
P44,4,HbO,8,-0.0028664526918188984,-0.011781896440299087,0.00175566082423614
P44,5,HbO,8,-0.002423618313769761,9.825342432559214e-5,-0.004678127679622219
P44,7,HbO,8,-0.009697423714646075,-0.0013610736936318624,-0.013037702604797122
P44,8,HbO,8,-0.001667859817721747,-0.0037775461647386833,-0.00395467352157345
P44,9,HbO,8,-0.006969952268978084,5.535960523057719e-4,-0.008686753312674707
P44,10,HbO,8,-0.00794546477912419,0.016001754521724514,-0.017394506252255575
P44,11,HbO,8,-0.005684122493082158,-0.013752446776705158,-3.472263698938335e-4
P44,12,HbO,8,-0.007135258091550518,-0.007865573846375812,-0.0026074647768559653
P44,14,HbO,8,-0.002222108039363148,-0.006988199948597699,-7.899188799085759e-4
P44,15,HbO,8,-0.0019652020182574902,-0.004082505881811496,-0.006234224948692025
P44,16,HbO,8,-0.002864728041733968,-1.5635767635256652e-4,-0.002209770568255725
P44,17,HbO,8,-2.056851800347959e-4,-9.76550524341317e-4,-4.7921813225472747e-4
P44,18,HbO,8,-2.0745665592191447e-6,2.0359500446931063e-5,3.3401727372963128e-6
P44,19,HbO,8,-3.2401367774901985e-7,3.1760276350104623e-6,1.192314190544317e-5
P44,20,HbO,8,-1.1015299592299287e-6,2.0956637958641453e-7,-4.0792383098723285e-6
P44,21,HbO,8,-1.0280374932172206e-6,1.0780082331897394e-6,-2.31802799239521e-6
P44,22,HbO,8,-9.269076134370659e-4,0.002076895413223622,-0.0021360463376427982
P44,23,HbO,8,-0.004409752994429403,-0.0022757708071385638,-0.00601296379608223
P44,1,HbO,11,-0.0016804804807050908,0.004140512632232421,-0.0059200640889616836
P44,2,HbO,11,-0.004405970234909486,0.0027265382746985392,-0.01165427556985219
